Genes	Similarity(max 1)
PRR20C	0.661498708
COX5A	0.728671329
CARD17	0.74137931
ULBP1	0.779220779
MAMU-DQA1	0.781012658
FAM22F	0.781512605
CTRB1	0.783718104
AP4S1	0.809399478
CCDC107	0.816558442
MAP1LC3C	0.836530442
NDUFA12	0.83919598
MAMU-DRB1	0.84
BCL2L12	0.841053588
RAB42	0.841367222
ATP5J2	0.845041322
LYZL1	0.859473024
OR10H4	0.860662048
FDCSP	0.86329588
TRIM36	0.869565217
MPV17L	0.870478413
ADH1B	0.871452421
MAMU-DQB1	0.87486631
HRC	0.881303813
BTN2A1	0.885826772
IGSF23	0.886133033
ROPN1	0.887766554
COX6B2	0.887900356
SPN	0.890469417
UGT2B7	0.89217759
LILRB1	0.892448513
C1orf68	0.893178893
ZNF720	0.893287435
CXCL5	0.893401015
PHLDA2	0.895491803
CTSE	0.896608768
ATF5	0.898578199
NUDT11	0.898663697
MT3	0.900881057
C14orf2	0.901610018
SFTPC	0.902798233
SEMG1	0.904255319
DECR2	0.904392765
C9orf50	0.905354919
ACBD7	0.90719697
CEACAM3	0.909248055
TAS2R19	0.91
SAG	0.910329986
FGA	0.912225705
LGALS13	0.913322632
LILRA2	0.913455464
COLEC11	0.914490862
DEFA1	0.914563107
DNASE1	0.916083916
LYZL4	0.916284404
TCHH	0.916407982
PSMA3	0.916833667
PAGE2B	0.917466411
TEX33	0.918191604
WFDC5	0.918756269
OR5A1	0.918776371
KRTAP10-8	0.918918919
TMEM44	0.919259882
IGSF6	0.920877026
BRK1	0.921232877
RPP38	0.922213912
CMC1	0.922382671
ZBTB8A	0.922955975
LILRB3	0.923943662
CYLC2	0.924009701
ARPC5L	0.924198251
MRPS2	0.924528302
CCDC137	0.924570912
TEX13A	0.92494788
HYAL1	0.925087108
UTS2D	0.925213675
FXN	0.925852694
LEKR1	0.926215278
FSTL3	0.926785714
TMEM140	0.926829268
TRIM51	0.927367056
PRKCZ	0.927391304
CWC15	0.927893738
KLHL30	0.928070175
TNNT3	0.928438662
LIMD2	0.929720576
C4orf52	0.929916318
TCTN1	0.93083004
PMP2	0.931101407
F2	0.931119921
OR8S1	0.931290622
NUCB1	0.931451613
ANG	0.932668329
HGF	0.932911392
TRIM5	0.933188485
PPIP5K1	0.933554817
OR2L2	0.933862434
RSPH10B	0.934010152
PSAPL1	0.934909091
RAB12	0.935309973
MRGPRG	0.93537415
H2BFM	0.935424354
HSPB11	0.93553719
CCDC78	0.935888502
PSMA8	0.936065574
ZNF83	0.936081694
DEFB105A	0.936708861
RGR	0.937031484
CLN3	0.937117418
CLCA4	0.938104449
DNASE2	0.938286399
SGK494	0.938316621
RFX8	0.938461538
CAPG	0.93847352
ALDH3B1	0.93877551
TPTE2	0.938826467
PRSS42	0.938834951
ENPP7	0.939116379
PTPRH	0.939243408
SQSTM1	0.939437984
FCRL1	0.939905734
IFNA4	0.940464178
KRTAP19-5	0.940639269
SLC39A5	0.940721649
IL10RB	0.940896092
C3orf35	0.941109853
TBC1D2	0.941176471
AFM	0.941609679
C20orf141	0.941880342
YPEL5	0.941972077
TARP	0.942215088
TBATA	0.942381562
ENO4	0.942528736
NREP	0.942974453
ZNF28	0.943953935
LYPD1	0.944584383
CYB5B	0.944812362
NDUFS5	0.944954128
MAMU-DPA	0.944987775
FEZF1	0.945121951
PRPH	0.94531784
KIAA0141	0.945929526
ARHGEF6	0.945929648
KISS1	0.946298984
CFI	0.946417445
ZCCHC17	0.946617008
SGOL1	0.946649317
MIIP	0.946930946
PYHIN1	0.947191551
ERICH1	0.947368421
HNMT	0.947470817
ORM1	0.947619048
RAB3IL1	0.947869447
MRP63	0.947969543
SPPL2B	0.948018747
MYL6	0.948170732
C6orf15	0.948275862
SERPINB13	0.948582412
LIPJ	0.948683322
NRG4	0.948766603
C1orf27	0.949122178
VSNL1	0.949304175
FBXO25	0.94937276
PAK4	0.949429658
TCEAL1	0.949565217
CA13	0.94978746
SRA1	0.949837134
KIAA1211L	0.949863263
C1orf63	0.95010395
FMR1NB	0.950149551
PIGM	0.950212273
TNFRSF10A	0.950326797
ACRV1	0.950617284
FMN2	0.950793224
CHRNA9	0.950869565
ASCL5	0.950881612
FCER1G	0.951002227
PHB2	0.951374207
NIPAL2	0.95154185
CXCL14	0.951623592
CCDC23	0.951827243
KLK1	0.952046784
MTERF	0.952089704
SATL1	0.952176249
RIC8A	0.952192809
CCDC75	0.952226721
ARR3	0.952231793
C16orf71	0.952453988
LIPT2	0.952595937
SPRR2E	0.952606635
RNF185	0.952733119
DAZL	0.952750591
CASP6	0.952818627
CDC34	0.952885748
FBXO27	0.952973721
ALYREF	0.953026197
ASIC3	0.953026634
IFNA10	0.953051643
RENBP	0.953136265
GGACT	0.953409572
OPN1LW	0.953424658
MFAP5	0.95357406
TEKT1	0.953684211
KCNG2	0.953703704
KRTAP16-1	0.953757225
C8orf58	0.954011742
IFI6	0.954489545
C3orf55	0.954545455
C16orf96	0.954702117
ARMC6	0.95473251
MRPL32	0.954808806
RTCA	0.954977806
TMED2	0.955035129
MBLAC1	0.955063716
CD209	0.955223881
NKIRAS2	0.955302722
PCBP2	0.955538222
AKR7A3	0.95561139
SPINT3	0.955613577
OLIG2	0.955733558
CFHR4	0.955844156
C11orf58	0.955851225
GOLM1	0.9559532
HTR1A	0.956102267
CD300E	0.956149733
HIST2H3A	0.95631068
CCDC122	0.956730769
ELK3	0.956733106
RAET1G	0.95681382
CYP2A6	0.956842703
TSPAN8	0.956888472
CDPF1	0.956908345
HDGFRP3	0.957186544
CEACAM6	0.957253297
EXOSC6	0.957351291
ZNF30	0.957799905
GATAD2A	0.957802381
FANCA	0.957805907
RPS26	0.957915832
SFTPB	0.958059211
OR4C11	0.958158996
KIAA1324	0.958178172
PRDM9	0.958277852
ATP6V1F	0.958333333
C6orf25	0.958333333
